stop_name,line_code,Line,stop_lat,stop_lon,MED_COMMUT,UNEMPLOYME,PCT_IMMIGR,PCT_POSTSE,OWNERS,RENTERS,CONDOS,MEN_HO_INC,MEN_IN_INC,MARRIED,NOT_MARRIED,DEP_5_7AM,DEP_7_9AM,DEP_9AM,MED_SHELT_OWN,MED_SHELT_RNT,AVG_CHILD,AVG_ROOMS,MED_AGE,POP_DENS,MAIN_OCCUP,MAIN_COUNTRY,MAIN_TRANSP,,stop_order,SHOW_IN_MAP
Acadie,b,bleue,45.523487,-73.623727,24.27020371,10.30662425,39.87055081,51.85948765,19.98301281,21.98870142,23.77222498,63129.31724,30856.90995,44.53670104,39.05177068,4.824410918,28.53048235,7.915256597,1183.371541,841.35761,1.254835973,5.34203284,39.18170368,10026.39783,Sales and service,France,Public transit,,6,TRUE
Angrignon,v,verte,45.446294,-73.603753,29.22308639,10.73302008,34.48255712,43.70638596,18.85752172,27.28074455,15.84684106,41614.69852,22788.50973,44.53889256,42.59707382,9.988165769,23.80784332,8.591036244,785.1894386,702.2236039,1.000266741,4.616503283,42.61089683,7013.764036,Sales and service,Italy,Vehicle driver,,1,TRUE
Assomption,v,verte,45.56923,-73.546789,28.96814688,7.128690554,12.97940227,50.39933844,22.05338551,34.6554453,16.64212246,46164.97064,31339.71351,43.28829353,51.50464091,8.84176194,23.29363521,9.807832295,862.7556737,754.0164499,0.67408061,4.407043443,51.16560021,4167.726327,Sales and service,France,Vehicle driver,,23,TRUE
Atwater,v,verte,45.489345,-73.584203,20.06669291,10.59187143,34.30614076,67.96433338,14.54454227,39.62801385,17.75588876,46599.08628,25882.2736,39.40707729,53.95447367,3.633307935,27.74295643,10.01340733,1213.66378,911.2487498,0.839867546,4.466370112,40.63919343,11109.26652,Sales and service,Other places of birth in Asia,Public transit,,9,TRUE
Beaubien,o,orange,45.535584,-73.604507,29.37011525,7.911715027,21.14651078,63.45991246,13.04732832,43.44308204,13.52513339,39138.68571,26432.61234,36.5677883,54.99327328,7.887012399,35.99451297,13.26893119,1186.026571,664.8944351,0.760276774,4.209872071,34.09677601,10915.56488,Sales and service,France,Public transit,,23,TRUE
Beaudry,v,verte,45.518977,-73.555851,21.63067023,7.994212005,24.8283846,67.58801332,16.94451229,46.0539119,30.54950458,39135.04598,26229.86692,32.90967234,67.76120507,7.499803818,35.98658934,13.42467954,1190.012127,738.3010929,0.49482834,3.73438531,38.66179136,8408.1062,Sales and service,France,Public transit,,16,TRUE
Berri-UQAM,j,multi orange-green-yellow,45.51485,-73.559655,21.29121165,9.965044274,31.87006469,67.22179236,18.48251344,44.07542402,35.4437887,40097.62829,26977.48187,35.44696899,67.12472171,6.7510897,34.90242646,12.56456633,1157.581527,727.1662423,0.54105846,3.651062661,39.81290213,8797.847455,Sales and service,France,Public transit,,1,TRUE
Berri-UQAM,o,multi orange-green-yellow,45.51485,-73.559655,21.29121165,9.965044274,31.87006469,67.22179236,18.48251344,44.07542402,35.4437887,40097.62829,26977.48187,35.44696899,67.12472171,6.7510897,34.90242646,12.56456633,1157.581527,727.1662423,0.54105846,3.651062661,39.81290213,8797.847455,Sales and service,France,Public transit,,18,FALSE
Berri-UQAM,v,multi orange-green-yellow,45.51485,-73.559655,21.29121165,9.965044274,31.87006469,67.22179236,18.48251344,44.07542402,35.4437887,40097.62829,26977.48187,35.44696899,67.12472171,6.7510897,34.90242646,12.56456633,1157.581527,727.1662423,0.54105846,3.651062661,39.81290213,8797.847455,Sales and service,France,Public transit,,15,FALSE
Bonaventure,o,orange,45.498045,-73.566893,16.92861776,7.21113797,33.17339623,76.07444296,27.66037792,32.71061894,65.55808899,46617.77536,29490.27678,39.20858233,63.59543869,3.809440181,36.88478956,10.08635977,1172.925867,1205.820194,0.59392768,3.639553267,32.9950841,3757.390139,"Business, finance and administration",China,Walked,,14,TRUE
